WKT,n_points,n_recordings,BRSP_n,DUFL_n,GCSP_n,HOLA_n,TOSO_n
"POLYGON((-136.39311183538962 59.553045999999995,-136.43752899999987 59.566046,-136.48194616461012 59.553045999999995,-136.48194616461012 59.527046,-136.43752899999987 59.51404599999999,-136.39311183538962 59.527046,-136.39311183538962 59.553045999999995))",5,19,0,0,31,1,0
"POLYGON((-136.48890523715093 59.70892599999999,-136.53352899999987 59.721925999999996,-136.57815276284882 59.70892599999999,-136.57815276284882 59.682925999999995,-136.53352899999987 59.66992599999999,-136.48890523715093 59.682925999999995,-136.48890523715093 59.70892599999999))",7,29,0,0,49,6,0
"POLYGON((-135.00085323515458 59.74789599999999,-135.04552899999982 59.760895999999995,-135.09020476484505 59.74789599999999,-135.09020476484505 59.721895999999994,-135.04552899999982 59.70889599999999,-135.00085323515458 59.721895999999994,-135.00085323515458 59.74789599999999))",3,13,0,1,13,0,0
"POLYGON((-136.6805910833418 59.942745999999985,-136.72552899999988 59.95574599999999,-136.77046691665797 59.942745999999985,-136.77046691665797 59.91674599999999,-136.72552899999988 59.903745999999984,-136.6805910833418 59.91674599999999,-136.6805910833418 59.942745999999985))",3,16,5,0,26,1,0
"POLYGON((-136.72853822074882 59.981715999999984,-136.77352899999988 59.99471599999999,-136.81851977925095 59.981715999999984,-136.81851977925095 59.95571599999999,-136.77352899999988 59.94271599999998,-136.72853822074882 59.95571599999999,-136.72853822074882 59.981715999999984))",3,14,3,0,22,0,0
"POLYGON((-134.56848521277746 60.02068599999998,-134.6135289999998 60.03368599999999,-134.65857278722214 60.02068599999998,-134.65857278722214 59.99468599999999,-134.6135289999998 59.98168599999998,-134.56848521277746 59.99468599999999,-134.56848521277746 60.02068599999998))",1,2,0,2,0,0,0
"POLYGON((-134.61643205886432 60.05965599999998,-134.6615289999998 60.07265599999999,-134.7066259411353 60.05965599999998,-134.7066259411353 60.033655999999986,-134.6615289999998 60.02065599999998,-134.61643205886432 60.033655999999986,-134.61643205886432 60.05965599999998))",12,127,7,0,205,35,0
"POLYGON((-134.52043205886432 60.05965599999998,-134.5655289999998 60.07265599999999,-134.61062594113528 60.05965599999998,-134.61062594113528 60.033655999999986,-134.5655289999998 60.02065599999998,-134.52043205886432 60.033655999999986,-134.52043205886432 60.05965599999998))",3,18,0,26,0,0,1
"POLYGON((-135.09621797241797 60.21553599999998,-135.14152899999982 60.228535999999984,-135.18684002758167 60.21553599999998,-135.18684002758167 60.18953599999998,-135.14152899999982 60.17653599999998,-135.09621797241797 60.18953599999998,-135.09621797241797 60.21553599999998))",15,159,25,23,99,38,18
"POLYGON((-135.00021797241797 60.21553599999998,-135.04552899999982 60.228535999999984,-135.09084002758166 60.21553599999998,-135.09084002758166 60.18953599999998,-135.04552899999982 60.17653599999998,-135.00021797241797 60.18953599999998,-135.00021797241797 60.21553599999998))",8,86,0,66,12,17,21
