longitude,latitude,location,detections,recordings
-134.678184,60.214673,EG-CARIB-A1,1,1
-134.691547,60.218051,EG-CARIB-S2,10,5
-136.764671,59.94813,EG-PARTO-S1,1,1
-136.75774,59.9496,EG-PARTO-S3,2,2
-134.784561,60.480385,EG-LORNE-A2,1,1
-136.746941,59.945553,EG-PARTO-A4,5,4
-139.432086,61.458604,EG-QUILL-A7,2,1
-137.08893,60.41768,EG-ROCK-A3,1,1
-137.082859,60.419696,EG-ROCK-S3,1,1
-137.09141,60.44586,YTHEMP-RUR-265140-S3,1,1
-135.14116,60.2117,YTHEMP-YSH-248916-T1,1,1
-135.14953,60.20787,YTHEMP-YSH-248916-T2,11,8
-135.143462,60.202309,YTHEMP-YSH-248916-T3,1,1
-135.160105,60.207359,YTHEMP-YSH-248916-T4,2,2
-135.02671,60.22342,YTHEMP-YSH-248917-S1,1,1
-134.700055,60.243445,YTHEMP-YSL-248350-S2,1,1
-134.70241,60.24101,YTHEMP-YSL-248350-S3,3,3
-134.74318,60.45095,YTHEMP-YSL-254641-S2,12,10
-134.73916,60.45613,YTHEMP-YSL-254641-T3,4,4
-138.598286,61.025188,YTHEMP-SEM-289781-S2,3,3
-135.14796,60.20015,YTHEMP-YSH-248916-T5,1,1
-134.74057,60.45359,YTHEMP-YSL-254641-S3,1,1
-138.59555,61.02762,YTHEMP-SEM-289781-S4,3,2
-135.1426,60.199231,YTHEMP-YSH-248916-S3,9,8
-134.619193,60.047489,YTHEMP-BMP-242114-D21,3,3
-134.63919,60.04538,YTHEMP-BMP-242114-T3,4,4
-134.74057,60.45359,YTHEMP-YSL-254641-T4,9,8
-136.93298,60.87143,YTHEMP-YSL-276468-S1,1,1
-135.982237,60.873449,YTHEMP-YSL-272275-S5,2,2
