longitude,latitude,location,detections,recordings
-133.116785,60.605659,EG-CANOL-A6,2,1
-134.678184,60.214673,EG-CARIB-A1,2,2
-136.415094,59.543631,EG-GLAVE-A3,1,1
-136.531453,59.694553,EG-KUSAW-A7,3,3
-133.122035,60.604766,EG-CANOL-A7,1,1
-134.677557,60.217423,EG-CARIB-A2,3,2
-136.531421,59.698535,EG-KUSAW-A4,2,1
-136.541936,59.695466,EG-KUSAW-A5,1,1
-136.739385,59.9493,EG-PARTO-A6,1,1
-137.088856,60.426646,EG-ROCK-A1,1,1
-137.095208,60.426073,EG-ROCK-A2,2,1
-134.77036,60.477124,EG-LORNE-A7,2,1
-137.08518,60.44842,YTHEMP-RUR-265140-H3,1,1
-137.09059,60.44871,YTHEMP-RUR-265140-S5,2,2
-136.91663,60.8754,YTHEMP-RUR-276468-T1,4,3
-136.91873,60.87285,YTHEMP-RUR-276468-T2,5,4
-136.92328,60.87452,YTHEMP-RUR-276468-T3,5,4
-136.92928,60.87483,YTHEMP-RUR-276468-T4,7,4
-138.586714,61.023024,YTHEMP-SEM-288569-S1,1,1
-138.58052,61.02552,YTHEMP-SEM-288569-T1,2,2
-134.65589,60.0456,YTHEMP-YSH-242678-T2,19,13
-134.61755,60.05494,YTHEMP-YSH-243244-S4,1,1
-134.62287,60.05582,YTHEMP-YSH-243244-S5,2,2
-135.14116,60.2117,YTHEMP-YSH-248916-T1,4,4
-135.14953,60.20787,YTHEMP-YSH-248916-T2,4,4
-135.143462,60.202309,YTHEMP-YSH-248916-T3,10,9
-135.064911,60.233607,YTHEMP-YSH-249486-T1,17,10
-135.04609,60.22708,YTHEMP-YSH-249486-T3,11,8
-134.700055,60.243445,YTHEMP-YSL-248350-S2,1,1
-134.70434,60.251,YTHEMP-YSL-248350-T3,1,1
-134.706212,60.25413,YTHEMP-YSL-248919-T1,1,1
-134.706401,60.256825,YTHEMP-YSL-248919-T2,7,4
-134.70807,60.25956,YTHEMP-YSL-248919-T4,6,4
-134.74318,60.45095,YTHEMP-YSL-254641-S2,1,1
-134.73916,60.45613,YTHEMP-YSL-254641-T3,1,1
-135.0445,60.555394,YTHEMP-YSL-258111-T2,4,3
-135.049958,60.555286,YTHEMP-YSL-258111-T4,12,9
-135.050617,60.563366,YTHEMP-YSL-259270-T1,1,1
-135.27908,60.61664,YTHEMP-YSL-261023-S7,1,1
-135.050397,60.560673,YTHEMP-YSL-259270-T3,7,6
-135.52419,60.76116,YTHEMP-YSL-266936-T1,7,6
-135.53969,60.76737,YTHEMP-YSL-266936-T2,4,4
-135.552167,60.770977,YTHEMP-YSL-266936-T3,4,3
-135.54062,60.76579,YTHEMP-YSL-266936-T4,4,3
-135.51877,60.76176,YTHEMP-YSL-266936-T5,8,7
-135.987443,60.870611,YTHEMP-YSL-272275-T1,11,9
-135.987747,60.873301,YTHEMP-YSL-272275-T2,13,9
-135.993561,60.875843,YTHEMP-YSL-272275-T5,5,4
-134.65038,60.04548,YTHEMP-YSH-242678-T1,8,6
-135.132893,60.205228,YTHEMP-YSH-248916-S1,2,2
-135.14796,60.20015,YTHEMP-YSH-248916-T5,5,5
-135.14667,60.21092,YTHEMP-YSH-248916-T6,11,8
-135.053236,60.223048,YTHEMP-YSH-249486-T4,10,10
-135.993865,60.878534,YTHEMP-YSL-272275-T3,8,7
-135.993257,60.873153,YTHEMP-YSL-272275-T4,14,8
-135.1426,60.199231,YTHEMP-YSH-248916-S3,2,2
-135.05421,60.55351,YTHEMP-YSL-258111-T5,6,6
-135.5384,60.76456,YTHEMP-YSL-266936-T4A,4,2
-134.63919,60.04538,YTHEMP-BMP-242114-T3,3,2
-138.56537,61.02611,YTHEMP-SEM-288569-T2,2,2
-138.55888,61.02575,YTHEMP-SEM-288569-T3,5,5
-138.56729,61.02359,YTHEMP-SEM-288569-T4,6,5
-138.57347,61.02391,YTHEMP-SEM-288569-T5,5,5
-135.059072,60.228328,YTHEMP-YSH-249486-D4,5,5
-135.047618,60.220462,YTHEMP-YSH-249486-T2,7,5
-135.529928,60.768802,YTHEMP-YSL-266936-D9,2,2
-134.73641,60.46164,YTHEMP-YSL-254641-T1,1,1
-134.73858,60.45908,YTHEMP-YSL-254641-T2,2,2
-136.94393,60.87858,YTHEMP-YSL-277072-S4,6,6
-136.91663,60.8754,YTHEMP-YSL-276468-T1,8,6
-136.91873,60.87285,YTHEMP-YSL-276468-T2,6,5
-136.92328,60.87452,YTHEMP-YSL-276468-T3,10,6
-136.92928,60.87483,YTHEMP-YSL-276468-T4,25,12
-136.929822,60.877604,YTHEMP-YSL-276468-T5,17,9
-137.112326,60.447443,YTHEMP-RUR-265140-D3,1,1
-134.64493,60.045,YTHEMP-YSH-242678-T4,2,2
-137.101955,60.444657,YTHEMP-RUR-265140-T4,2,2
-137.107999,60.444786,YTHEMP-RUR-265140-T5,1,1
-137.113692,60.446223,YTHEMP-RUR-265140-T6,1,1
-135.982237,60.873449,YTHEMP-YSL-272275-S5,1,1
-135.059072,60.228328,YTHEMP-YSH-249486-T5,7,5
-134.635717,60.047263,YTHEMP-BMP-242114-T5,1,1
-135.548766,60.787811,YTHEMP-YSL-266936-T10,1,1
