longitude,latitude,location,detections,recordings
-134.691547,60.218051,EG-CARIB-S2,2,2
-139.677804,61.683141,EG-DANE-A2,1,1
-133.122035,60.604766,EG-CANOL-A7,1,1
-134.694722,60.214195,EG-CARIB-S3,3,2
-139.679624,61.677816,EG-DANE-A4,1,1
-139.689529,61.670149,EG-DANE-B6,1,1
-139.686097,61.673659,EG-DANE-S4,1,1
-139.685006,61.678976,EG-DANE-S6,1,1
-134.784561,60.480385,EG-LORNE-A2,3,3
-139.427752,61.463448,EG-QUILL-A10,1,1
-139.432086,61.458604,EG-QUILL-A7,2,2
-139.422206,61.456052,EG-QUILL-A9,2,2
-134.703465,60.212692,EG-CARIB-B3,2,2
-137.08173,60.45179,YTHEMP-RUR-265140-S7A,2,1
-137.080536,60.453992,YTHEMP-RUR-265140-H1,3,3
-137.08044,60.4509,YTHEMP-RUR-265140-H2,3,3
-137.096038,60.44803,YTHEMP-RUR-265140-S2,5,5
-137.09141,60.44586,YTHEMP-RUR-265140-S3,8,8
-137.09059,60.44871,YTHEMP-RUR-265140-S5,4,4
-137.08592,60.45008,YTHEMP-RUR-265140-S6,9,9
-136.91873,60.87285,YTHEMP-RUR-276468-T2,1,1
-138.59036,61.01519,YTHEMP-SEM-288569-H2,13,10
-138.58588,61.0048,YTHEMP-SEM-288569-H3,4,4
-138.5604,61.002602,YTHEMP-SEM-288569-L4,3,3
-138.586714,61.023024,YTHEMP-SEM-288569-S1,2,2
-138.58052,61.02552,YTHEMP-SEM-288569-T1,4,4
-134.61851,60.06183,YTHEMP-YSH-243244-H3,1,1
-134.61334,60.05665,YTHEMP-YSH-243244-S2,2,2
-134.61755,60.05494,YTHEMP-YSH-243244-S4,1,1
-135.12992,60.20769,YTHEMP-YSH-248916-S2,8,7
-135.14116,60.2117,YTHEMP-YSH-248916-T1,3,3
-135.160105,60.207359,YTHEMP-YSH-248916-T4,1,1
-135.02671,60.22342,YTHEMP-YSH-248917-S1,1,1
-135.036602,60.217984,YTHEMP-YSH-248917-S2,1,1
-135.02658,60.21699,YTHEMP-YSH-248917-S3,2,2
-135.096217,60.219478,YTHEMP-YSH-249486-H1,7,6
-135.041568,60.212487,YTHEMP-YSH-249486-S4,12,10
-135.064911,60.233607,YTHEMP-YSH-249486-T1,1,1
-134.703956,60.221792,YTHEMP-YSL-247779-H2,2,2
-134.715703,60.235078,YTHEMP-YSL-247779-H3,2,2
-134.710111,60.232478,YTHEMP-YSL-247779-H4,1,1
-134.700055,60.243445,YTHEMP-YSL-248350-S2,1,1
-134.70241,60.24101,YTHEMP-YSL-248350-S3,1,1
-134.70311,60.23836,YTHEMP-YSL-248350-S4,1,1
-134.801844,60.452078,YTHEMP-YSL-254064-H1,3,2
-134.784933,60.444289,YTHEMP-YSL-254064-H2,3,3
-134.75175,60.44609,YTHEMP-YSL-254064-S5,7,6
-134.74905,60.44973,YTHEMP-YSL-254641-S1,5,5
-134.74318,60.45095,YTHEMP-YSL-254641-S2,4,4
-134.74604,60.45328,YTHEMP-YSL-254641-S4,7,6
-134.73916,60.45613,YTHEMP-YSL-254641-T3,9,9
-135.0445,60.555394,YTHEMP-YSL-258111-T2,1,1
-135.050617,60.563366,YTHEMP-YSL-259270-T1,1,1
-135.278722,60.607195,YTHEMP-YSL-261023-H1,1,1
-135.2852,60.61791,YTHEMP-YSL-261023-S6,2,2
-135.27908,60.61664,YTHEMP-YSL-261023-S7,3,3
-135.27446,60.61517,YTHEMP-YSL-261023-S8,1,1
-135.279922,60.620659,YTHEMP-YSL-261611-S3,3,3
-135.479968,60.764568,YTHEMP-YSL-266343-H1,4,4
-135.490435,60.758931,YTHEMP-YSL-266343-H2,8,6
-135.501419,60.758676,YTHEMP-YSL-266343-H3,2,2
-135.480226,60.767259,YTHEMP-YSL-266343-H4,10,6
-135.484684,60.756366,YTHEMP-YSL-266343-L1,8,7
-135.479193,60.756492,YTHEMP-YSL-266343-L2,5,5
-135.484426,60.753674,YTHEMP-YSL-266343-L3,8,6
-135.51371,60.76252,YTHEMP-YSL-266936-S3,4,4
-135.52419,60.76116,YTHEMP-YSL-266936-T1,1,1
-135.53969,60.76737,YTHEMP-YSL-266936-T2,1,1
-135.552167,60.770977,YTHEMP-YSL-266936-T3,1,1
-135.54062,60.76579,YTHEMP-YSL-266936-T4,3,2
-135.993297,60.824578,YTHEMP-YSL-270495-H1,2,2
-135.992083,60.813816,YTHEMP-YSL-270495-L1,6,6
-135.9972,60.81638,YTHEMP-YSL-270495-L2,11,10
-135.996976,60.808287,YTHEMP-YSL-270495-L4,5,4
-135.985927,60.857159,YTHEMP-YSL-271089-S1,1,1
-135.981025,60.862688,YTHEMP-YSL-271089-S2,2,2
-135.987443,60.870611,YTHEMP-YSL-272275-T1,2,2
-136.964837,60.862235,YTHEMP-YSL-275865-H1,18,13
