longitude,latitude,species_code,detections,recordings,location
-134.678184,60.214673,BRSP,1,1,EG-CARIB-A1
-134.691547,60.218051,BRSP,10,5,EG-CARIB-S2
-136.764671,59.94813,BRSP,1,1,EG-PARTO-S1
-136.75774,59.9496,BRSP,2,2,EG-PARTO-S3
-134.784561,60.480385,BRSP,1,1,EG-LORNE-A2
-136.746941,59.945553,BRSP,5,4,EG-PARTO-A4
-139.432086,61.458604,BRSP,2,1,EG-QUILL-A7
-137.08893,60.41768,BRSP,1,1,EG-ROCK-A3
-137.082859,60.419696,BRSP,1,1,EG-ROCK-S3
-137.09141,60.44586,BRSP,1,1,YTHEMP-RUR-265140-S3
-135.14116,60.2117,BRSP,1,1,YTHEMP-YSH-248916-T1
-135.14953,60.20787,BRSP,11,8,YTHEMP-YSH-248916-T2
-135.143462,60.202309,BRSP,1,1,YTHEMP-YSH-248916-T3
-135.160105,60.207359,BRSP,2,2,YTHEMP-YSH-248916-T4
-135.02671,60.22342,BRSP,1,1,YTHEMP-YSH-248917-S1
-134.700055,60.243445,BRSP,1,1,YTHEMP-YSL-248350-S2
-134.70241,60.24101,BRSP,3,3,YTHEMP-YSL-248350-S3
-134.74318,60.45095,BRSP,12,10,YTHEMP-YSL-254641-S2
-134.73916,60.45613,BRSP,4,4,YTHEMP-YSL-254641-T3
-138.598286,61.025188,BRSP,3,3,YTHEMP-SEM-289781-S2
-135.14796,60.20015,BRSP,1,1,YTHEMP-YSH-248916-T5
-134.74057,60.45359,BRSP,1,1,YTHEMP-YSL-254641-S3
-138.59555,61.02762,BRSP,3,2,YTHEMP-SEM-289781-S4
-135.1426,60.199231,BRSP,9,8,YTHEMP-YSH-248916-S3
-134.619193,60.047489,BRSP,3,3,YTHEMP-BMP-242114-D21
-134.63919,60.04538,BRSP,4,4,YTHEMP-BMP-242114-T3
-134.74057,60.45359,BRSP,9,8,YTHEMP-YSL-254641-T4
-136.93298,60.87143,BRSP,1,1,YTHEMP-YSL-276468-S1
-135.982237,60.873449,BRSP,2,2,YTHEMP-YSL-272275-S5
-135.029215,59.726599,DUFL,1,1,EG-FRASE-S1
