location,latitude,longitude,buffer_m,location_visibility,true_coordinates,location_comments,internal_wildtrax_id
ITH-1-2-1,68.591149,-133.606389,,Visible,t,,540557
ITH-1-2-2,68.592522,-133.598343,,Visible,t,,540558
ITH-1-2-3,68.592644,-133.617065,,Visible,t,,540559
ITH-1-2-4,68.596016,-133.591324,,Visible,t,,540560
ITH-1-3-2,68.605476,-133.615509,,Visible,t,,540562
ITH-1-3-3,68.607086,-133.608276,,Visible,t,,540563
ITH-1-3-4,68.607803,-133.583908,,Visible,t,,540564
ITH-1-3-7,68.608360,-133.601420,,Visible,t,,555868
ITH-1-3-8,68.609802,-133.583252,,Visible,t,,540567
ITH-1-6-1,68.702839,-133.543976,,Visible,t,,540576
ITH-1-6-2,68.705046,-133.558656,,Visible,t,,540577
ITH-1-6-3,68.708138,-133.538223,,Visible,t,,540578
ITH-1-6-4,68.708847,-133.554520,,Visible,t,,540579
ITH-1-6-5,68.710266,-133.529282,,Visible,t,,540580
ITH-1-6-6,68.712868,-133.539093,,Visible,t,,540581
ITH-1-6-7,68.715385,-133.526978,,Visible,t,,540582
ITH-1-6-8,68.716545,-133.537964,,Visible,t,,540583
ITH-1-7-1,68.762611,-133.551559,,Visible,t,,540584
ITH-1-7-2,68.763733,-133.560181,,Visible,t,,540585
ITH-1-7-3,68.765297,-133.548950,,Visible,t,,540586
ITH-1-7-4,68.766869,-133.560287,,Visible,t,,540587
ITH-1-8-1,68.837585,-133.588425,,Visible,t,,540588
ITH-1-8-2,68.837984,-133.578336,,Visible,t,,540589
ITH-1-8-3,68.840878,-133.574780,,Visible,t,,540590
ITH-1-8-4,68.842018,-133.584105,,Visible,t,,540591
ITH-2-APA-1,68.990310,-133.834670,,Visible,t,,558773
ITH-2-APA-2,68.988490,-133.838960,,Visible,t,,558774
ITH-2-APA-3,68.979650,-133.840170,,Visible,t,,558775
ITH-2-APU-1,69.268920,-134.677529,,Visible,t,,558776
ITH-2-APU-2,69.267070,-134.672350,,Visible,t,,558777
ITH-2-APU-3,69.265520,-134.664810,,Visible,t,,558778
ITH-2-APU-4,69.251380,-134.628740,,Visible,t,,558779
ITH-2-APU-6,69.245610,-134.624530,,Visible,t,,558780
ITH-2-AT7-1,69.306860,-134.536510,,Visible,t,,558781
ITH-2-AT7-2,69.303130,-134.546780,,Visible,t,,558782
ITH-2-AT7-3,69.300810,-134.545040,,Visible,t,,558783
ITH-2-AT7-4,69.326510,-134.455280,,Visible,t,,558784
ITH-2-AT7-5,69.326200,-134.467820,,Visible,t,,558785
ITH-2-AT7-6,69.324230,-134.477860,,Visible,t,,558786
ITH-2-ATV-1,68.661690,-133.763260,,Visible,t,,558787
ITH-2-ATV-2,68.658800,-133.755200,,Visible,t,,558788
ITH-2-ATV-3,68.661100,-133.758500,,Visible,t,,558789
ITH-2-DLA-1,69.050880,-134.130670,,Visible,t,,558790
ITH-2-DLA-2,69.052700,-134.140530,,Visible,t,,558791
ITH-2-DLA-3,69.049940,-134.122764,,Visible,t,,558792
ITH-2-JIW-1,68.672970,-133.607650,,Visible,t,,558793
ITH-2-JIW-2,68.673150,-133.600500,,Visible,t,,558801
ITH-2-T12-1,68.587230,-133.637050,,Visible,t,,558802
ITH-2-T12-2,68.585150,-133.635930,,Visible,t,,558803
ITH-2-TVS-1,68.636090,-133.771000,,Visible,t,,558804
ITH-2-TVS-2,68.636870,-133.762750,,Visible,t,,558805
